name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads
Streptococcus sp. oral taxon 431,712633,S,784,36,820,0.00008
Neorhizobium sp. NCHU2750,1825976,S,1460,259,1719,0.00017
Pseudomonas sp. MT-1,150396,S,139,101,240,0.00002
Ahniella affigens,2021234,S,398,3,401,0.00004
Sinorhizobium sp. CCBAU 05631,794846,S,108,280,388,0.00004
Bacillus velezensis,492670,S,75,299,374,0.00004
Actinoplanes missouriensis,1866,S,309,181,490,0.00005
Acinetobacter sp. WCHAc010052,2004647,S,1916,465,2381,0.00023
Acinetobacter sp. WCHA55,2004646,S,50442,13893,64335,0.00634
Acinetobacter sp. WCHA45,2004644,S,27857,4725,32582,0.00321
Coprothermobacter proteolyticus,35786,S,11,0,11,0
Arcanobacterium phocae,131112,S,41,6,47,0
Actinomyces radingae,131110,S,164,13,177,0.00002
Candidatus Dependentiae bacterium (ex Spumella elongata CCAP 955/1),2066483,S,11,0,11,0
Halothece sp. PCC 7418,65093,S,17,4,21,0
Pseudomonas virus M6,347328,S,15,14,29,0
Treponema succinifaciens,167,S,527,35,562,0.00006
Polaribacter sp. MED152,313598,S,101,8,109,0.00001
Escherichia virus K30,1985722,S,12,10,22,0
Pseudarthrobacter chlorophenolicus,85085,S,115,32,147,0.00001
Klebsiella virus KpV289,1985727,S,23,5,28,0
Klebsiella virus KP32,1985726,S,17,9,26,0
Klebsiella virus Kp1,1985725,S,14,4,18,0
Truepera radiovictrix,332249,S,88,0,88,0.00001
Leclercia sp. LSNIH1,1920114,S,355,167,522,0.00005
Xanthomonas citri,346,S,1578,7190,8768,0.00086
Leclercia sp. LSNIH3,1920116,S,2084,2611,4695,0.00046
Citrobacter sp. CFNIH10,1920110,S,191,567,758,0.00007
Xanthomonas translucens,343,S,5846,938,6784,0.00067
Geobacter sp. M18,443143,S,692,196,888,0.00009
Geobacter sp. M21,443144,S,94,12,106,0.00001
Cutibacterium granulosum,33011,S,205,30,235,0.00002
Haloarcobacter bivalviorum,663364,S,377,13,390,0.00004
Microbacterium hominis,162426,S,3610,1000,4610,0.00045
