aac(6_)-I30_1_AY289608	aminoglycoside
sul1_31_AM040449	sulphonamide
aac(6_)-Is_1_AF031327	aminoglycoside
qnrB25_1_HQ172108	quinolone
dfrA1_1_FJ591049	trimethoprim
blaCMY-73_1_GQ351345	beta-lactam
aadE-Cc_1_CP013733	aminoglycoside
blaOXA-439_1_KP727573	beta-lactam
aph(3_)-XV_2_GQ626879	aminoglycoside
mcr-3.11_1_MG489958	colistin
blaCMY-32_1_EU496815	beta-lactam
blaTEM-185_1_JF795538	beta-lactam
dfrA17_6_AF180469	trimethoprim
aph(3_)-Va_2_AB211959	aminoglycoside
blaOXA-507_1_KU551305	beta-lactam
blaFOX-7_1_AJ703796	beta-lactam
aph(3_)-VIII_1_ATGI01000028	aminoglycoside
blaOXA-357_1_KF421160	beta-lactam
blaHERA-8_1_AJ536092	beta-lactam
blaTEM-6_1_X57972	beta-lactam
mecA1_2_AY820253	beta-lactam
blaTEM-226_1_KY646301	beta-lactam
aph(6)-Id_5_18676889	aminoglycoside
blaOXA-133_1_EU571228	beta-lactam
blaFOX-4_1_AJ277535	beta-lactam
blaTEM-93_1_AJ318093	beta-lactam
fosA_3_ACWO01000079	fosfomycin
blaCTX-M-44_1_D37830	beta-lactam
qnrB54_1_HE820727	quinolone
blaOXA-515_1_KU866383	beta-lactam
blaNPS_1_AY027589	beta-lactam
aph(3_)-Ib_2_AJ744860	aminoglycoside
fosE_1_AB901041	fosfomycin
blaVIM-32_1_JN676230	beta-lactam
blaOXA-331_1_KF203105	beta-lactam
dfrA17_9_FJ807902	trimethoprim
blaGOB-9_1_AY647246	beta-lactam
blaVEB-1_4_AF324834	beta-lactam
mcr-1.12_1_LC337668	colistin
blaMIR-6_1_JQ664733	beta-lactam
tet(E)_1_Y19116	tetracycline
blaGOB-11_1_AY647248	beta-lactam
blaTEM-52_1_Y13612	beta-lactam
blaTEM-57_1_FJ405211	beta-lactam
blaSHV-179_1_KF705208	beta-lactam
blaCTX-M-33_1_AY238472	beta-lactam
blaCMY-143_1_KY009534	beta-lactam
blaZ_107_FQDM01000011	beta-lactam
blaSCO-1_1_EF063111	beta-lactam
blaCMY-5_1_Y17716	beta-lactam
blaCMY-89_1_HE819403	beta-lactam
blaCARB-16_1_HF953351	beta-lactam
ant(9)-Ia_1_X02588	aminoglycoside
blaTEM-11_1_AY874537	beta-lactam
blaCTX-M-69_1_EU402393	beta-lactam
blaOXA-170_1_HM488991	beta-lactam
blaCTX-M-90_1_FJ907381	beta-lactam
blaTEM-95_1_AJ308558	beta-lactam
blaOXY-1-3_3_AY077482	beta-lactam
blaOXA-334_1_KF203108	beta-lactam
blaCMY-35_1_EF394371	beta-lactam
sul2_19_AJ319822	sulphonamide
blaTEM-109_1_AY628175	beta-lactam
blaACI-1_1_AJ007350	beta-lactam
tet(O/W)_1_AM889118	tetracycline
dfrA1_5_EU089668	trimethoprim
blaB-8_1_AF189305	beta-lactam
blaCMY-154_1_MF196231	beta-lactam
mcr-3.13_1_MH332763	colistin
aac(6_)-Ib-cr_1_DQ303918	aminoglycoside;quinolone
sul1_10_DQ143913	sulphonamide
